ID,Attribute,Data type,Represents
-90,MS-MPPE-Encryption-Types,,
-89,MS-MPPE-Encryption-Policy,,
-88,MS-BAP-Usage,,
-87,MS-Link-Drop-Time-Limit,,
-86,MS-Link-Utilization-Threshold,,
1,User-Name,Text,"The user identity, as specified by the user."
2,User-Password,,
3,CHAP-Password,,
4,NAS-IP-Address,Text,The IP address of the NAS originating the request.
5,NAS-Port,Number,The physical port number of the NAS originating the request.
6,Service-Type,Number,The type of service that the user has requested.
7,Framed-Protocol,Number,The protocol to be used.
8,Framed-IP-Address,Text,The framed IP address to be configured for the user.
9,Framed-IP-Netmask,Text,The IP netmask to be configured for the user.
10,Framed-Routing,Number,The routing method to be used by the user.
11,Filter-Id,Text,The name of the filter list for the user requesting authentication.
12,Framed-MTU,Number,The maximum transmission unit (MTU) to be configured for the user.
13,Framed-Compression,Number,The compression protocol to be used.
14,Login-IP-Host,Number,The IP address of the host to which the user should be connected.
15,Login-Service,Number,The service that connects the user to the login host.
16,Login-TCP-Port,Number,The TCP port to which the user is to be connected.
18,Reply-Message,Text,The message displayed to the user when an authentication request is accepted.
19,Callback-Number,Text,The callback phone number.
20,Callback-Id,Text,The name of a location to be called by the access server when performing callback.
22,Framed-Route,Text,The routing information that is configured on the access client.
23,Framed-IPX-Network,Number,The Internetwork Packet Exchange (IPX) network number to be configured on the NAS for the user.
24,State,,
25,Class,Text,"The attribute sent to the client in an Access-Accept packet, which is useful for correlating Accounting-Request packets with authentication sessions."
26,Vendor-Specific,Text,The attribute that is used to support proprietary NAS features.
27,Session-Timeout,Number,The length of time (in seconds) before a session is terminated.
28,Idle-Timeout,Number,The length of idle time (in seconds) before a session is terminated.
29,Termination-Action,Number,The action that the NAS is to take when service is completed.
30,Called-Station-Id,Text,The phone number that is dialed by the user.
31,Calling-Station-Id,Text,The phone number from which the call originated.
32,NAS-Identifier,Text,The string that identifies the NAS originating the request.
33,Proxy-State,,
34,Login-LAT-Service,Text,The host with which the user is to be connected by Local Area Transport (LAT).
35,Login-LAT-Node,Text,The node with which the user is to be connected by LAT.
36,Login-LAT-Group,Text,The LAT group codes for which the user is authorized.
37,Framed-AppleTalk-Link,Number,The AppleTalk network number for the serial link to the user (this is used only when the user is a router).
38,Framed-AppleTalk-Network,Number,The AppleTalk network number that the NAS must query for existence in order to allocate the user AppleTalk node.
39,Framed-AppleTalk-Zone,Text,The AppleTalk default zone for the user.
40,Acct-Status-Type,Number,"The number that specifies whether an accounting packet starts or stops a bridging, routing, or Terminal Services session."
41,Acct-Delay-Time,Number,The length of time (in seconds) for which the NAS has been sending the same accounting packet.
42,Acct-Input-Octets,Number,The number of octets received by NPS during the session.
43,Acct-Output-Octets,Number,The number of octets sent by NPS during the session.
44,Acct-Session-Id,Text,The unique numeric string that identifies the server session.
45,Acct-Authentic,Number,The number that specifies which server has authenticated an incoming call.
46,Acct-Session-Time,Number,The length of time (in seconds) for which the session has been active.
47,Acct-Input-Packets,Number,The number of packets received by NPS during the session.
48,Acct-Output-Packets,Number,The number of packets sent by NPS during the session.
49,Acct-Terminate-Cause,Number,The reason that a connection was terminated by NPS.
50,Acct-Multi-Session-Id,Text,The unique numeric string that identifies the multilink session.
51,Acct-Link-Count,Number,The number of links in a multilink session.
52,Acct-Input-Gigawords,,
53,Acct-Output-Gigawords,,
55,Event-Timestamp,Time,The date and time that this event occurred on the NAS.
60,CHAP-Challenge,,
61,NAS-Port-Type,Number,The type of physical port that is used by the NAS originating the request.
62,Port-Limit,Number,The maximum number of ports that the NAS provides to the user.
63,Login-LAT-Port,Number,The port with which the user is connected by LAT.
64,Tunnel-Type,Number,The tunneling protocols to be used.
65,Tunnel-Medium-Type,Number,"The transport medium to use when creating a tunnel for protocols. For example, L2TP packets can be sent over multiple link layers."
66,Tunnel-Client-Endpt,Text,The IP address of the tunnel client.
67,Tunnel-Server-Endpt,Text,The IP address of the tunnel server.
68,Acct-Tunnel-Connection,Text,An identifier assigned to the tunnel.
69,Tunnel-Password,,
70,ARAP-Password,,
71,ARAP-Features,,
72,ARAP-Zone-Access,,
73,ARAP-Security,,
74,ARAP-Security-Data,,
75,Password-Retry,Number,The number of times a user can try to be authenticated before the NAS terminates the connection.
76,Prompt,Number,A number that indicates to the NAS whether or not it should (Prompt=1) or should not (Prompt=0) echo the user response as it is typed.
77,Connect-Info,Text,Information that is used by the NAS to specify the type of connection made. Typical information includes connection speed and data encoding protocols.
78,Configuration-Token,Text,The type of user profile to be used (sent from a RADIUS proxy server to a RADIUS client) in an Access-Accept packet.
79,EAP-Message,,
80,Message-Authenticator,,
81,Tunnel-Pvt-Group-ID,Text,The group ID for a specific tunneled session.
82,Tunnel-Assignment-ID,Text,The tunnel to which a session is to be assigned.
83,Tunnel-Preference,Number,"A number that indicates the preference of the tunnel type, as indicated by the Tunnel-Type attribute when multiple tunnel types are supported by the NAS."
84,ARAP-Challenge-Response,,
85,Acct-Interim-Interval,Number,The length of interval (in seconds) between each interim update sent by the NAS.
86,Acct-Tunnel-Packets-Lost,,
87,NAS-Port-Id,,
88,Framed-Pool,,
90,Tunnel-Client-Auth-ID,,
91,Tunnel-Server-Auth-ID,,
107,Ascend-Calling-Subaddress,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
108,Ascend-Callback-Delay,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
109,Ascend-Endpoint-Disc,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
110,Ascend-Remote-FW,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
111,Ascend-Multicast-G-Leave-Delay,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
112,Ascend-CBCP-Enable,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
113,Ascend-CBCP-Mode,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
114,Ascend-CBCP-Delay,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
115,Ascend-CBCP-Trunk-Group,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
116,Ascend-Appletalk-Route,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
117,Ascend-Appletalk-Peer-Mode,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
118,Ascend-Route-Appletalk,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
119,Ascend-FCP-Parameter,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
120,Ascend-Modem-Port-No,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
121,Ascend-Modem-Slot-No,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
122,Ascend-Modem-Shelf-No,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
123,Ascend-CallAttempt-Limit,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
124,Ascend-CallBlock-Duration,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
125,Ascend-Maximum-Call-Duration,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
126,Ascend-Route-Preference,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
127,Ascend-Tunneling-Protocol,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
128,Ascend-Shared-Profile-Enable,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
129,Ascend-Primary-Home-Agent,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
130,Ascend-Secondary-Home-Agent,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
131,Ascend-Dialout-Allowed,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
132,Ascend-Client-Gateway,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
133,Ascend-BACP-Enable,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
134,Ascend-DHCP-Maximum-Leases,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
135,Ascend-Client-Primary-DNS,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
136,Ascend-Client-Secondary-DNS,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
137,Ascend-Client-Assign-DNS,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
138,Ascend-User-Acct-Type,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
139,Ascend-User-Acct-Host,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
140,Ascend-User-Acct-Port,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
141,Ascend-User-Acct-Key,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
142,Ascend-User-Acct-Base,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
143,Ascend-User-Acct-Time,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
144,Ascend-Assign-IP-Client,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
145,Ascend-Assign-IP-Server,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
146,Ascend-Assign-IP-Global-Pool,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
147,Ascend-DHCP-Reply,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
148,Ascend-DHCP-Pool-Number,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
149,Ascend-Expect-Callback,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
150,Ascend-Event-Type,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
151,Ascend-Session-Svr-Key,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
152,Ascend-Multicast-Rate-Limit,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
153,Ascend-IF-Netmask,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
154,Ascend-Remote-Addr,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
155,Ascend-Multicast-Client,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
156,Ascend-FR-Circuit-Name,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
157,Ascend-FR-Link-Up,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
158,Ascend-FR-Nailed-Grp,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
159,Ascend-FR-Type,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
160,Ascend-FR-Link-Mgt,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
161,Ascend-FR-N391,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
162,Ascend-FR-DCE-N392,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
163,Ascend-FR-DTE-N392,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
164,Ascend-FR-DCE-N393,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
165,Ascend-FR-DTE-N393,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
166,Ascend-FR-T391,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
167,Ascend-FR-T392,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
168,Ascend-Bridge-Address,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
169,Ascend-TS-Idle-Limit,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
170,Ascend-TS-Idle-Mode,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
171,Ascend-DBA-Monitor,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
172,Ascend-Base-Channel-Count,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
173,Ascend-Minimum-Channels,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
174,Ascend-IPX-Route,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
175,Ascend-FT1-Caller,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
176,Ascend-Backup,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
177,Ascend-Call-Type,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
178,Ascend-Group,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
179,Ascend-FR-DLCI,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
180,Ascend-FR-Profile-Name,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
181,Ascend-Ara-PW,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
182,Ascend-IPX-Node-Addr,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
183,Ascend-Home-Agent-IP-Addr,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
184,Ascend-Home-Agent-Password,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
185,Ascend-Home-Network-Name,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
186,Ascend-Home-Agent-UDP-Port,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
187,Ascend-Multilink-ID,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
188,Ascend-Num-In-Multilink,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
189,Ascend-First-Dest,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
190,Ascend-Pre-Input-Octets,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
191,Ascend-Pre-Output-Octets,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
192,Ascend-Pre-Input-Packets,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
193,Ascend-Pre-Output-Packets,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
194,Ascend-Maximum-Time,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
195,Ascend-Disconnect-Cause,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
196,Ascend-Connect-Progress,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
197,Ascend-Data-Rate,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
198,Ascend-Pre-Session-Time,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
